episode,global_step,episode_reward,episode_length
1,7,5.591306746006012,7
2,11,2.957376480102539,4
3,23,9.645195603370667,12
4,32,6.6534828543663025,9
5,42,6.622153200209141,10
6,48,4.59703254699707,6
7,54,4.959018170833588,6
8,65,8.794036626815796,11
9,72,4.406900472939014,7
10,76,2.5660592317581177,4
11,87,8.21636039018631,11
12,102,11.043777167797089,15
13,109,5.084209322929382,7
14,118,7.957171320915222,9
15,123,3.3887185230851173,5
16,133,7.362867116928101,10
17,163,23.42055517435074,30
18,180,12.923354506492615,17
19,194,10.729322120547295,14
20,213,14.057985126972198,19
21,215,1.08310467004776,2
22,219,2.398565411567688,4
23,228,6.401267945766449,9
24,231,1.6000542640686035,3
25,240,7.047308400273323,9
26,246,4.357670426368713,6
27,253,6.045632466673851,7
28,262,7.752751052379608,9
29,266,2.1647727489471436,4
30,272,4.55740749835968,6
31,280,5.088715136051178,8
32,283,1.6000542640686035,3
33,318,25.45788586139679,35
34,345,19.274968147277832,27
35,372,18.13074892759323,27
36,378,3.931065171957016,6
37,396,12.664904534816742,18
38,426,21.524305284023285,30
39,439,9.284351646900177,13
40,446,4.227544134482741,7
41,473,19.643702447414398,27
42,480,5.364763796329498,7
43,562,59.89359712600708,82
44,601,27.212044894695282,39
45,604,2.1954904049634933,3
46,618,10.005245752632618,14
47,626,5.762078583240509,8
48,638,10.400343731045723,12
49,640,0.9660165309906006,2
50,648,5.520707607269287,8
51,659,7.381144464015961,11
52,679,17.15004050731659,20
53,698,12.73697292804718,19
54,708,8.350483059883118,10
55,714,4.720839485526085,6
56,726,8.262957334518433,12
57,730,2.95578932762146,4
58,744,12.010560810565948,14
59,747,1.9602091312408447,3
60,762,10.971480742096901,15
61,776,11.199938833713531,14
62,784,5.324394047260284,8
63,788,2.396742880344391,4
64,825,29.860178872942924,37
65,828,1.912417083978653,3
66,881,37.195425033569336,53
67,893,8.454297542572021,12
68,905,10.235702872276306,12
69,915,8.786971688270569,10
70,919,2.5634323358535767,4
71,932,9.111698841676116,13
72,961,23.24270737171173,29
73,994,25.470775961875916,33
74,997,1.764922857284546,3
75,1003,3.6139131784439087,6
76,1015,8.894919097423553,12
77,1048,23.212930142879486,33
78,1051,1.9583725333213806,3
79,1064,9.644877135753632,13
80,1072,6.758327960968018,8
81,1122,37.71147131919861,50
82,1132,7.196420934051275,10
83,1176,34.27939581871033,44
84,1185,6.961648523807526,9
85,1188,1.6000542640686035,3
86,1193,3.1985929012298584,5
87,1196,1.9583725333213806,3
88,1208,8.861812308430672,12
89,1238,24.346222519874573,30
90,1242,2.399343430995941,4
91,1256,9.227339267730713,14
92,1266,6.494318246841431,10
93,1299,25.442058622837067,33
94,1310,9.557603240013123,11
95,1318,5.527288436889648,8
96,1323,3.2001020312309265,5
97,1326,1.3636363744735718,3
98,1328,0.9893852416425943,2
99,1331,1.9602091312408447,3
100,1343,9.808623909950256,12
101,1353,7.99512505531311,10
102,1399,31.997869849205017,46
103,1419,14.18121075630188,20
104,1471,40.081665217876434,52
105,1483,9.404247105121613,12
106,1513,20.523314595222473,30
107,1524,7.253450274467468,11
108,1549,21.041262328624725,25
109,1565,10.869032263755798,16
110,1580,10.03572165966034,15
111,1593,9.72586739063263,13
112,1600,5.653664521872997,7
113,1606,4.204375803470612,6
114,1616,8.157278895378113,10
115,1642,18.951007068157196,26
116,1645,1.5974290370941162,3
117,1664,13.618164122104645,19
118,1670,4.561489462852478,6
119,1673,1.9583725333213806,3
120,1679,4.399145483970642,6
121,1688,6.0055201053619385,9
122,1697,6.145657241344452,9
123,1721,17.8631454706192,24
124,1723,1.054394781589508,2
125,1726,1.9583725333213806,3
126,1737,7.079859614372253,11
127,1745,6.3174504190683365,8
128,1765,16.37196671962738,20
129,1776,6.903516590595245,11
130,1786,8.163417994976044,10
131,1798,9.080130279064178,12
132,1802,2.4011906385421753,4
133,1814,8.691607475280762,12
134,1853,28.54109889268875,39
135,1862,6.05467826128006,9
136,1872,7.024526059627533,10
137,1885,9.53132838010788,13
138,1890,3.7547073364257812,5
139,1895,3.054815709590912,5
140,1904,6.1752389669418335,9
141,1916,8.295470416545868,12
142,1932,10.935663282871246,16
143,1975,29.66182315349579,43
144,1981,3.613913416862488,6
145,1991,8.083176970481873,10
146,1999,6.390734255313873,8
147,2006,4.2955681681633,7
148,2009,1.5982070565223694,3
149,2016,5.7622687220573425,7
150,2025,7.756068766117096,9
151,2032,5.0056527853012085,7
152,2037,3.276053488254547,5
153,2052,11.642294049263,15
154,2060,6.010465562343597,8
155,2072,8.60815542936325,12
156,2076,2.568289279937744,4
157,2080,2.3985458612442017,4
158,2124,33.7808832526207,44
159,2127,1.9602091312408447,3
160,2138,9.15656191110611,11
161,2178,29.45963454246521,40
162,2191,11.959012269973755,13
163,2200,6.368325769901276,9
164,2205,3.204545497894287,5
165,2208,1.9583725333213806,3
166,2217,7.557205677032471,9
167,2247,21.23476004600525,30
168,2253,3.9937689900398254,6
169,2263,7.878830432891846,10
170,2266,1.6000542640686035,3
171,2273,5.401351869106293,7
172,2281,5.76654452085495,8
173,2326,32.887825667858124,45
174,2358,25.305183351039886,32
175,2368,8.557392060756683,10
176,2401,23.870759634301066,33
177,2406,3.75812304019928,5
178,2410,2.7595089077949524,4
179,2420,7.608286082744598,10
180,2430,7.766905188560486,10
181,2438,5.7639248967170715,8
182,2555,86.30420380830765,117
183,2559,2.5942353010177612,4
184,2580,17.71259331703186,21
185,2588,6.676523894071579,8
186,2666,56.76879346370697,78
187,2680,9.068458914756775,14
188,2692,8.028580844402313,12
189,2764,53.962174236774445,72
190,2795,23.161101579666138,31
191,2803,5.567164957523346,8
192,2812,6.120782062411308,9
193,2849,27.37879067659378,37
194,2860,9.279185980558395,11
195,2865,2.930699586868286,5
196,2898,22.462803080677986,33
197,2923,19.85037237405777,25
198,2928,3.520740732550621,5
199,2933,3.75626540184021,5
200,2946,10.119751632213593,13
201,2972,19.10025942325592,26
202,2977,2.8443724513053894,5
203,2993,12.253164157271385,16
204,3008,12.408197447657585,15
205,3015,5.166481256484985,7
206,3020,3.197434186935425,5
207,3025,3.2000637650489807,5
208,3056,25.731645703315735,31
209,3075,13.428214073181152,19
210,3095,14.262148261070251,20
211,3099,2.9592167139053345,4
212,3107,5.961452960968018,8
213,3113,3.613890528678894,6
214,3122,6.5932158511132,9
215,3133,7.999698877334595,11
216,3150,15.268767595291138,17
217,3153,1.9602091312408447,3
218,3156,1.9583725333213806,3
219,3164,5.763803064823151,8
220,3193,24.290404498577118,29
221,3226,24.8644939661026,33
222,3234,5.527288436889648,8
223,3248,9.392189502716064,14
224,3257,7.362427294254303,9
225,3261,2.3967478275299072,4
226,3265,2.5942353010177612,4
227,3273,6.400985598564148,8
228,3286,9.28742516040802,13
229,3290,2.398927390575409,4
230,3294,2.4034091234207153,4
231,3299,3.5954729318618774,5
232,3309,8.30237116664648,10
233,3322,8.732583999633789,13
234,3325,1.9602091312408447,3
235,3327,0.9850976467132568,2
236,3350,16.753031253814697,23
237,3368,12.355823457241058,18
238,3397,23.180052280426025,29
239,3426,22.819354236125946,29
240,3447,16.549289386719465,21
241,3453,4.758342683315277,6
242,3461,5.092053055763245,8
243,3475,9.809180080890656,14
244,3479,2.398565411567688,4
245,3485,4.959018170833588,6
246,3501,12.321075975894928,16
247,3545,31.40469442680478,44
248,3554,7.390628635883331,9
249,3560,4.559649229049683,6
250,3567,5.358187794685364,7
251,3616,41.689142882823944,49
252,3627,7.374127805233002,11
253,3646,12.987577259540558,19
254,3679,26.464131355285645,33
255,3682,1.9602091312408447,3
256,3694,7.9352757930755615,12
257,3704,8.756448984146118,10
258,3709,2.8127585649490356,5
259,3714,2.7272727489471436,5
260,3718,3.123423680663109,4
261,3723,4.195799365639687,5
262,3775,38.66452622413635,52
263,3800,17.139869548380375,25
264,3824,18.490223228931427,24
265,3829,2.8443724513053894,5
